Langage,Nombres de Paradigmes,Concurrente,Par contrainte,Par flux de données,Déclarative,Distribuée,Fonctionnelle,Métaprogrammation,Générique,Impérative,Logique,Réfléchissant,Orienté-objet,Pipelines de programmation,Visuelle,Règles de base,Autres paradigmes
Leda,4,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non
LispWorks,9,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non
Lua,3,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
MATLAB,6,Toolbox,Toolbox,Oui,Non,Toolbox,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Tableau
Nemerle,7,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non
Object Pascal,4,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
OCaml,4,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non
Oz,9,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non
Perl ,8,Oui,Bibliothèque,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non
Perl6,10,Oui,Oui,Oui,Non,Bibliothèque,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Multiple dispatch| lazy lists| reactive.
PHP,4,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non
Poplog,3,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
Prograph,3,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non
Python,5,Bibliothèque,Bibliothèque,Non,Non,Bibliothèque,Partiel,Oui,Oui,Oui,Bibliothèque,Oui,Oui,Non,Non,Non,structured
R,4,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Tableau
Racket,6,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non
ROOP,3,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non
Ruby,4,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non
Rust,6,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,linear| affline| and ownership types
Sather,2,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Scala,9,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non
Simula,2,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
SISAL,3,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Spreadsheets,2,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Swift,3,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,block-structured
Tcl with Snit extension ,3,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non
Visual Basic .NET,6,Oui,Non,Bibliothèque,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,reactive
Windows PowerShell,6,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non
Wolfram Language & Mathematica,13,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Knowledge Based
